SlideNumber,Region,ID,Age,Depth_bins,R1,MBP,MAP2,DAPI,BCAS1,depth,,,
247/ 257 / 247 / 257,CoS,1,1.5,80 — 90,0.4945568,0.1575,15.733333,,,90,,,
247/ 257 / 247 / 257,CoS,1,1.5,90 — 100,0.4869055,0.2957333,11.16025,,,100,,,
101,CoS,2,5,0 — 10,1.2663763,26.928,6.715,,,10,,,
101,CoS,2,5,10 — 20,1.2810091,13.8365,7.2713333,,,20,,,
101,CoS,2,5,20 — 30,1.2894466,6.7135,12.315,,,30,,,
101,CoS,2,5,30 — 40,1.3119844,3.39,20.057,,,40,,,
101,CoS,2,5,40 — 50,1.324673,4.0805,21.806667,,,50,,,
101,CoS,2,5,50 — 60,1.3376481,7.337,21.474667,,,60,,,
101,CoS,2,5,60 — 70,1.3540484,4.6725,16.51025,,,70,,,
101,CoS,2,5,70 — 80,1.3453063,8.9525,19.0425,,,80,,,
101,CoS,2,5,80 — 90,1.3536971,6.8675,21.247333,,,90,,,
135,CoS,2,5,0 — 10,1.2996002,5.741,12.228,,,10,,,
135,CoS,2,5,10 — 20,1.3021362,1.7241667,4.7793333,,,20,,,
135,CoS,2,5,20 — 30,1.3211709,2.32075,8.713,,,30,,,
135,CoS,2,5,30 — 40,1.3376981,1.3688333,8.0025,,,40,,,
135,CoS,2,5,40 — 50,1.3287535,1.802,16.0505,,,50,,,
135,CoS,2,5,50 — 60,1.3497559,1.3285,14.43575,,,60,,,
135,CoS,2,5,60 — 70,1.3864812,0.6796667,12.67625,,,70,,,
135,CoS,2,5,70 — 80,1.3946224,2.0968333,11.373667,,,80,,,
135,CoS,2,5,80 — 90,1.4144673,3.7925,13.85525,,,90,,,
135,CoS,2,5,90 — 100,1.4140782,8.728,19.3725,,,100,,,
185 / 185 / 187 / 185,CoS,2,5,0 — 10,1.2412255,7.038,,,,10,,,
185 / 185 / 187 / 185,CoS,2,5,10 — 20,1.2369994,1.9891667,,,,20,,,
185 / 185 / 187 / 185,CoS,2,5,20 — 30,1.242956,1.4386667,,,,30,,,
185 / 185 / 187 / 185,CoS,2,5,30 — 40,1.252417,2.3084167,,,,40,,,
185 / 185 / 187 / 185,CoS,2,5,40 — 50,1.2684639,3.4863333,,,,50,,,
185 / 185 / 187 / 185,CoS,2,5,50 — 60,1.2750115,5.483,,,,60,,,
185 / 185 / 187 / 185,CoS,2,5,60 — 70,1.2819606,2.6445833,,,,70,,,
185 / 185 / 187 / 185,CoS,2,5,70 — 80,1.3031651,3.77325,,,,80,,,
185 / 185 / 187 / 185,CoS,2,5,80 — 90,1.3327906,3.893125,,,,90,,,
185 / 185 / 187 / 185,CoS,2,5,90 — 100,1.41215,4.3678333,,,,100,,,
391,CoS,3,108,0 — 10,0.9936142,39.770083,45.859722,,,10,,,
391,CoS,3,108,10 — 20,1.0135812,16.094889,18.720659,,,20,,,
391,CoS,3,108,20 — 30,1.0997462,15.189917,14.076388,,,30,,,
391,CoS,3,108,30 — 40,1.2295553,23.302889,12.007224,,,40,,,
391,CoS,3,108,40 — 50,1.2711576,30.020333,11.221776,,,50,,,
