ImageID,MBP_coverage,Slide_number,Layer,Age,Age_group,,,
crop_MAX_A22-97_5mo_Slide77_DAPI-405_Olig2-488_MBP-594_Fe-647_MFS-1.tif,0.025,77,FG,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_Slide145_DAPI-405_Iba1-488_MBP-594_Fe-647_MFS-1.tif,0.269,145,FG,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_MFS-1.tif,0.417,167,FG,5,2_4-6mo,b_4-6,,
crop_MAX_A22-97_5mo_LH_Slide181_DAPI_NeuN-488_MAP2-594_MBP-647_FG-1-1.tif,0.715,181,FG,5,2_4-6mo,b_4-6,,
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS-1.tif,0.043,73,FG,6,2_4-6mo,b_4-6,,
crop_MAX_A20-21_6mo_Slide86_DAPI_NeuN-488_MAP2-594_MBP-647_FG-1.tif,0.011,86,FG,6,2_4-6mo,b_4-6,,
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS-1.tif,0.168,118,FG,6,2_4-6mo,b_4-6,,
MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Fus-1.tif,0.075,151,FG,6,2_4-6mo,b_4-6,,
crop_MAX_A14-33_2yo_BlockA1_Slide29_DAPI_PV-488_MBP-594_BCAS1-647_MFS-1.tif,0.737,29,FG,24,3_2yrs,d_2yr,,
crop_MAX_A14-33_2yo_BlockA1_Slide113_DAPI-MAP2-488_MBP-594_BCAS1-647_MFS-1.tif,0.037,113,FG,24,3_2yrs,d_2yr,,
MAX_A14-33_2yo_BlockA1_Slide151_DAPI_MAP2-594_MBP-647_FG.czi - A14-33_2yo_BlockA1_Slide151_DAPI_MAP2-594_MBP-647_FG.czi #1-1.tif,0.747,2yr_151,FG,24,3_2yrs,d_2yr,, 
