Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,Layer,morphology
6mo_73,42.89914503,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:deep:1,b_4-6 mo,4,deep,ensheathing
6mo_73,95.73207701,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:middle:1,b_4-6 mo,4,middle,stellate
6mo_73,0,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:middle:1,b_4-6 mo,4,middle,ensheathing
6mo_73,57.12756137,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:superficial:1,b_4-6 mo,4,superficial,stellate
6mo_73,1.969915909,FG,crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:superficial:1,b_4-6 mo,4,superficial,ensheathing
6mo_118,31.06810498,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:deep:1,b_4-6 mo,4,deep,stellate
6mo_118,43.49534698,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:deep:1,b_4-6 mo,4,deep,ensheathing
6mo_118,5.834790203,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:middle:2,b_4-6 mo,4,middle,stellate
6mo_118,17.50437061,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:middle:2,b_4-6 mo,4,middle,ensheathing
6mo_118,24.29354716,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:superficial:2,b_4-6 mo,4,superficial,stellate
6mo_118,6.941013475,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:superficial:2,b_4-6 mo,4,superficial,ensheathing
6mo_118,59.49391115,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:deep:1,b_4-6 mo,4,deep,stellate
6mo_118,19.83130372,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:deep:1,b_4-6 mo,4,deep,ensheathing
6mo_118,30.81908429,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:middle:4,b_4-6 mo,4,middle,stellate
6mo_118,0,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:middle:4,b_4-6 mo,4,middle,ensheathing
6mo_118,34.2514395,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:superficial:4,b_4-6 mo,4,superficial,stellate
6mo_118,1.489193022,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:superficial:4,b_4-6 mo,4,superficial,ensheathing
6mo_118,47.84899719,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:deep:4,b_4-6 mo,4,deep,stellate
6mo_118,27.60519069,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:deep:4,b_4-6 mo,4,deep,ensheathing
6mo_118,139.2434831,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:middle:4,b_4-6 mo,4,middle,stellate
6mo_118,0,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:middle:4,b_4-6 mo,4,middle,ensheathing
