Image_ID,Age,Measure,Coverage_percent,Layer,Cortex_v_WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 12)-1-1.tif,6mo,MBP,4.747,L6,Cortex
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 11)-1-1.tif,6mo,MBP,11.197,L6,Cortex
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 10)-1-1.tif,6mo,MBP,5.599,L6,Cortex
3m-38-L6-3-Calc-1-1.tif,6mo,CARS,5.029,L6,Cortex
3m-38-L6-2-Calc-1-1.tif,6mo,CARS,11.498,L6,Cortex
3m-38-L6-1-Calc-1-1.tif,6mo,CARS,6.768,L6,Cortex
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 09)-1-1.tif,6mo,MBP,0.926,L4,Cortex
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 08)-1-1.tif,6mo,MBP,0.732,L4,Cortex
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 07)-1-1.tif,6mo,MBP,0.002,L4,Cortex
3m-38-L4-3-Calc-1-1.tif,6mo,CARS,3.596,L4,Cortex
3m-38-L4-2-Calc-1-1.tif,6mo,CARS,4.258,L4,Cortex
3m-38-L4-1-Calc-1-1.tif,6mo,CARS,3.789,L4,Cortex
